latitude,longitude,month,day,avg_temp,max_temp,max_wind_speed,avg_wind,burned_area
37.4085532,126.7209113,04-Apr,05-fri,14.4,19.5,8.4,2.4,0.1
37.4788148,126.6292149,04-Apr,03-wed,13.5,23.6,7.9,1.5,0.5
37.2453779,126.5516637,02-Feb,04-thu,7.4,15.1,7.1,2.1,0.2
37.0623843,127.3341758,12-Dec,04-thu,-2.7,1.1,9.3,3.2,0.05
37.036234,127.1754073,03-Mar,02-tue,7.5,15.7,8.5,2.2,0.6
37.034011,127.1486764,03-Mar,06-sat,8.5,16.8,7.9,1.8,0.6
36.9635043,127.3614151,03-Mar,03-wed,7,15.6,8.1,1.8,2
37.0213799,127.221168,02-Feb,04-thu,8.3,15.3,8.3,3,0.1
36.9937407,127.2561865,02-Feb,06-sat,-3.7,3.1,10.1,2,0.01
37.8004513,127.0247472,04-Apr,06-sat,12.7,21.3,10.9,1.9,0.01
37.8064198,127.0531091,03-Mar,01-mon,6.3,16.4,8.7,1.2,0.2
37.7015093,126.9360793,03-Mar,03-wed,5.3,13,8.1,1.5,0.3
37.8321769,126.9515335,03-Mar,02-tue,3.6,11.7,6.7,1.1,0.2
37.9011284,127.0116067,03-Mar,05-fri,10.4,19.2,6.9,1.4,0.06
37.8305886,126.9725578,02-Feb,05-fri,-0.1,6,7.7,1.3,0.01
37.4542412,127.41009,04-Apr,05-fri,14.2,25.3,7,1.3,0.3
37.527832,127.6200332,03-Mar,04-thu,6.9,13.4,8.2,1.5,0.1
37.5115405,127.6975569,03-Mar,01-mon,9.6,17.5,7.5,1.4,0.2
37.6366371,127.3776664,03-Mar,05-fri,11.9,20.2,5,0.8,0.3
37.4178372,127.6805106,03-Mar,03-wed,7.2,15.3,6.5,1.4,0.2
37.4477067,127.5640113,02-Feb,05-fri,-3.4,3.7,6.5,1.2,0.5
37.5260502,127.6058083,02-Feb,01-mon,-5,0,6.5,2,0.5
37.6445667,127.3869049,01-Jan,03-wed,-3.1,4.8,5.5,0.8,0.7
37.3119929,127.6116381,03-Mar,01-mon,8.5,18.7,6.9,1.3,0.04
37.3840322,127.6171682,03-Mar,01-mon,3.1,9.9,5.7,1.4,0.8
37.3666611,127.504105,02-Feb,03-wed,0.8,9.9,4.4,1.1,0.6
37.236763,127.0913361,04-Apr,02-tue,10.5,18.8,8.7,1.9,0.16
37.2008122,127.2313204,03-Mar,04-thu,7.6,16.9,4.8,0.8,0.6
37.1893863,127.2135804,03-Mar,03-wed,6.6,14.2,6.8,1.4,0.09
37.2493633,127.1298155,01-Jan,01-mon,-9.2,-2.5,6.8,1.1,0.09
37.2870321,127.4358906,04-Apr,00-sun,14.6,22.9,8.1,2.2,0.06
37.1897763,127.3777746,04-Apr,03-wed,13.1,22.8,8,1.4,0.5
37.1236721,127.508421,04-Apr,05-fri,13.7,25.2,6.5,1.3,1
37.1475377,127.5792616,03-Mar,01-mon,8.2,17.8,7.2,1.3,0.1
37.2927156,127.448406,01-Jan,02-tue,-5.3,1.9,6.7,1.3,0.33
37.8086893,126.8763805,04-Apr,00-sun,13,20.6,7.1,2,2
37.7593505,126.9107795,04-Apr,02-tue,9.6,19,8.8,2.1,0.2
37.7678383,126.8043872,03-Mar,00-sun,5.5,13.8,8.8,1.9,0.09
37.8358278,126.8816659,01-Jan,06-sat,-3.4,2.4,5.9,1.1,0.5
37.9497801,127.1197944,12-Dec,02-tue,-2.5,3.2,8.5,1.5,0.05
37.7721362,127.2013271,06-Jun,05-fri,23.8,31.5,6.4,1.6,0.1
38.0813003,127.2481977,04-Apr,05-fri,13.8,24,8.3,2.1,0.03
38.0047524,127.2858174,04-Apr,05-fri,11.3,20.5,9.5,2.8,0.5
